"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL1645471";"";"None";"336.44";"0";"2.70";"8g";"Cc1ccc(Nc2ncnn3ccc(CN4CCC(N)CC4)c23)cc1";"IC50";"'='";"6.0";"nM";"8.22";"";"";"UO_0000065";"24.44";"0.45";"5.52";"11.50";"0";"CHEMBL1647392";"Inhibition of HER2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641446";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";""
"CHEMBL1645476";"";"None";"374.85";"0";"3.19";"8l";"NC1CCN(Cc2ccn3ncnc(Nc4ccc(F)c(Cl)c4)c23)CC1";"IC50";"'='";"6.0";"nM";"8.22";"";"";"UO_0000065";"21.93";"0.43";"5.03";"11.50";"0";"CHEMBL1647392";"Inhibition of HER2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641446";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";""
"CHEMBL1256436";"";"None";"572.12";"2";"5.65";"28";"Cc1cc(Nc2nc3cccc(Cl)c3o2)ccc1-c1nn([C@H]2CC[C@H](N3CCN(C)CC3)CC2)c2ncnc(N)c12";"IC50";"'='";"478.0";"nM";"6.32";"";"";"UO_0000065";"11.05";"0.21";"0.67";"5.54";"0";"CHEMBL1261098";"Inhibition of ErbB2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1255185";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";""
"CHEMBL497697";"";"None";"390.43";"0";"2.89";"12";"CN/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2cccc(F)c2)c1";"IC50";"'='";"84.0";"nM";"7.08";"";"";"UO_0000065";"18.12";"0.33";"4.19";"6.67";"0";"CHEMBL1007321";"Inhibition of human ErbB2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155952";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL524457";"";"None";"444.52";"0";"4.16";"17";"Nc1ncnc(Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)c1/C=N/N1CCCCC1";"IC50";"'='";"18.0";"nM";"7.75";"";"";"UO_0000065";"17.42";"0.32";"3.58";"7.96";"0";"CHEMBL1007321";"Inhibition of human ErbB2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155952";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL498134";"";"None";"459.53";"0";"2.92";"18";"CN1CCN(/N=C/c2c(N)ncnc2Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)CC1";"IC50";"'='";"509.0";"nM";"6.29";"";"";"UO_0000065";"13.70";"0.25";"3.37";"6.26";"0";"CHEMBL1007323";"Inhibition of human ErB2 phosphorylation in human SKBR3 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155952";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"CHEMBL3308062";"";"";""
"CHEMBL592481";"";"None";"304.16";"0";"2.25";"13";"O=C1CSC(N/N=C/c2cc(Cl)cc(Cl)c2O)=N1";"IC50";"'='";"4510.0";"nM";"5.35";"";"";"UO_0000065";"17.58";"0.41";"3.10";"7.22";"0";"CHEMBL1064821";"Inhibition of human cloned HER2 autophosphorylation expressed in baculovirus-infected Sf9 cells by solid-phase ELISA";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf9";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157666";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"CHEMBL3308860";"";"";""
"CHEMBL55994";"";"None";"271.30";"0";"2.95";"5";"N#C/C(=C\c1ccc(O)c(O)c1)C(=O)c1cccs1";"IC50";"'='";"34673.69";"nM";"4.46";"";"";"UO_0000065";"16.44";"0.32";"1.51";"5.48";"0";"CHEMBL769140";"Inhibitory activity tested against protein kinase HER-2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136802";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";""
"CHEMBL3827349";"";"None";"421.51";"0";"4.71";"13d";"c1cnc2ccc(Nc3ncnc4ccc(-c5cnn(C6CCNCC6)c5)cc34)cc2c1";"IC50";"'='";"1350.0";"nM";"5.87";"";"";"UO_0000065";"13.93";"0.25";"1.16";"7.29";"0";"CHEMBL3829380";"Inhibition of cytoplasmic His-tagged human ErbB2 expressed in baculovirus system by z-lyte assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3826970";"1";"Scientific Literature";"Eur J Med Chem";"2016";"None";"";"";""
"CHEMBL1069";"VALSARTAN";"4.0";"435.53";"0";"4.16";"VALSARTAN";"CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909205";"DRUGMATRIX: Protein Tyrosine Kinase, ERBB2 (HER2) enzyme inhibition (substrate: Poly(Glu:Tyr))";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Insect cells";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"None";"";"";""
"CHEMBL93262";"";"None";"503.56";"1";"3.50";"14a";"COc1cc(Nc2c(C#N)cnc3cc4[nH]c(NCCN5CCOCC5)nc4cc23)cc(OC)c1OC";"IC50";"'>'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL673954";"Inhibition of ERBB2 receptor kinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135352";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"None";"";"";""
"CHEMBL34431";"CILOSTAMIDE";"-1.0";"342.44";"0";"3.48";"CILOSTAMIDE";"CN(C(=O)CCCOc1ccc2[nH]c(=O)ccc2c1)C1CCCCC1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909205";"DRUGMATRIX: Protein Tyrosine Kinase, ERBB2 (HER2) enzyme inhibition (substrate: Poly(Glu:Tyr))";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Insect cells";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"None";"";"";""
"CHEMBL1201139";"MEGESTROL ACETATE";"4.0";"384.52";"0";"4.58";"MEGESTROL ACETATE";"CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909205";"DRUGMATRIX: Protein Tyrosine Kinase, ERBB2 (HER2) enzyme inhibition (substrate: Poly(Glu:Tyr))";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Insect cells";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"None";"";"";""
"CHEMBL685";"MEBENDAZOLE";"4.0";"295.30";"0";"2.97";"MEBENDAZOLE";"COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909205";"DRUGMATRIX: Protein Tyrosine Kinase, ERBB2 (HER2) enzyme inhibition (substrate: Poly(Glu:Tyr))";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Insect cells";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"None";"";"";""
"CHEMBL460499";"CARMOFUR";"-1.0";"257.26";"0";"0.81";"CARMOFUR";"CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909205";"DRUGMATRIX: Protein Tyrosine Kinase, ERBB2 (HER2) enzyme inhibition (substrate: Poly(Glu:Tyr))";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Insect cells";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"None";"";"";""
"CHEMBL107";"COLCHICINE";"4.0";"399.44";"0";"2.87";"SID17389095";"COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909205";"DRUGMATRIX: Protein Tyrosine Kinase, ERBB2 (HER2) enzyme inhibition (substrate: Poly(Glu:Tyr))";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Insect cells";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"None";"";"";""
"CHEMBL208433";"";"None";"350.42";"0";"4.97";"1";"CC1(C)CC2=Nc3ccccc3NC(c3cccc(O)c3O)C2=C(O)C1";"IC50";"'='";"61000.0";"nM";"4.21";"";"";"UO_0000065";"12.03";"0.22";"-0.76";"4.95";"0";"CHEMBL867505";"Inhibition of Her2 in SKBr3 cells by ELISA";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SKBr3";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148663";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";""
"CHEMBL445206";"ISOEUGENOL";"None";"164.20";"0";"2.43";"ISOEUGENOL";"C/C=C\c1ccc(O)c(OC)c1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909205";"DRUGMATRIX: Protein Tyrosine Kinase, ERBB2 (HER2) enzyme inhibition (substrate: Poly(Glu:Tyr))";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Insect cells";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"None";"";"";""
"CHEMBL315546";"";"None";"333.39";"0";"2.46";"16";"O=CN1CCN(c2ccc(/C=C3\C(=O)Nc4ccccc43)cc2)CC1";"IC50";"'='";"90200.0";"nM";"4.04";"";"";"UO_0000065";"12.13";"0.22";"1.58";"7.68";"0";"CHEMBL686676";"Concentration required to achieve 50% inhibition of tyrosine phosphorylation on human Her-2 receptor tyrosine kinase (HER-2 RTK)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131018";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";""
"CHEMBL448929";"";"None";"821.95";"3";"6.85";"23";"CCc1cc(Nc2nccc(-c3c(-c4cccc(C(=O)Nc5c(F)cccc5F)c4)nc4ccccn34)n2)c(OC)cc1N1CCC(N2CCN(S(C)(=O)=O)CC2)CC1";"IC50";"'='";"54.0";"nM";"7.27";"";"";"UO_0000065";"8.84";"0.17";"0.42";"5.29";"0";"CHEMBL946772";"Inhibition of ErbB2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143280";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";"";""
"CHEMBL12";"DIAZEPAM";"4.0";"284.75";"0";"3.15";"DIAZEPAM";"CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909205";"DRUGMATRIX: Protein Tyrosine Kinase, ERBB2 (HER2) enzyme inhibition (substrate: Poly(Glu:Tyr))";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Insect cells";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"None";"";"";""
"CHEMBL475446";"";"None";"586.11";"2";"5.94";"29";"CS(=O)(=O)CCNCc1ccc(-c2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)[nH]1";"IC50";"'='";"431.0";"nM";"6.37";"";"";"UO_0000065";"10.86";"0.22";"0.43";"5.84";"0";"CHEMBL990365";"Inhibition of ErbB2 intracellular autophosphorylation of ErbB2 in human BT474 cells by DELFIA assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BT-474";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143296";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"CHEMBL3307636";"";"";""
"CHEMBL597569";"";"None";"506.96";"2";"5.03";"12";"COCCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCCCC(=O)NO";"IC50";"'='";"24.0";"nM";"7.62";"";"";"UO_0000065";"15.03";"0.30";"2.59";"6.64";"0";"CHEMBL1064922";"Inhibition of HER2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157563";"1";"Scientific Literature";"J Med Chem";"2010";"None";"";"";""
"CHEMBL31373";"";"None";"342.76";"0";"4.29";"17";"C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1";"IC50";"'='";"4.3";"nM";"8.37";"";"";"UO_0000065";"24.41";"0.48";"4.08";"12.50";"0";"CHEMBL673951";"Inhibition of autophosphorylation of ERBB2 receptor kinase in MDA-MB 453 cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133162";"1";"Scientific Literature";"J Med Chem";"2000";"None";"";"";""
"CHEMBL265367";"";"None";"680.68";"2";"6.67";"15";"Cn1ccnc1S(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(C(F)(F)F)c4)c3c2)o1";"IC50";"'='";"26.0";"nM";"7.58";"";"";"UO_0000065";"11.14";"0.22";"0.92";"6.11";"0";"CHEMBL910356";"Inhibition of ErbB2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149340";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";""
"CHEMBL592004";"";"None";"522.26";"2";"6.02";"11b";"Oc1ccc(CN(Cc2cc(Br)cc(Br)c2O)C(=S)Nc2ccccc2)cc1";"IC50";"'='";"2240.0";"nM";"5.65";"";"";"UO_0000065";"10.82";"0.28";"-0.37";"10.14";"0";"CHEMBL1064830";"Inhibition of human cloned HER2 autophosphorylation expressed in baculovirus-infected Sf9 cells by solid-phase ELISA";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf9";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157668";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"CHEMBL3308860";"";"";""
"CHEMBL328977";"";"None";"482.41";"0";"4.13";"10i";"O=C(C#CCN1CCSCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1";"IC50";"'='";"124.0";"nM";"6.91";"";"";"UO_0000065";"14.32";"0.31";"2.78";"9.85";"0";"CHEMBL676070";"Inhibition of human epidermal growth factor receptor (HER-2) using enzyme assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134561";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";""
"CHEMBL3965948";"";"None";"562.81";"1";"3.71";"11p";"O=C(CBr)OCCn1c(=O)oc2cc3ncnc(Nc4ccc(N5CCOCC5)c(Cl)c4)c3cc21";"IC50";"'='";"21.0";"nM";"7.68";"";"";"UO_0000065";"13.64";"0.30";"3.97";"6.87";"0";"CHEMBL3854310";"Inhibition of His-tagged human HER2 (676 to 1255 residues) expressed in baculovirus after 1 hr by Z-lyte assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3853296";"1";"Scientific Literature";"Eur J Med Chem";"2016";"None";"";"";""
